id,id,wishlist_id,product_id,quantity
1,,1,800,3
2,,1,1172,2
3,,1,212,3
4,,2,1842,2
5,,2,1220,5
6,,2,39,1
7,,3,34,5
8,,3,1833,1
9,,3,1884,1
10,,3,1394,5
11,,4,1515,4
12,,4,918,4
13,,4,716,1
14,,4,900,1
15,,4,1449,5
16,,5,1451,4
17,,5,551,4
18,,5,1692,2
19,,5,1855,5
20,,6,550,2
21,,6,1599,5
22,,6,265,1
23,,6,1570,4
24,,6,645,5
25,,7,89,2
26,,8,1437,5
27,,8,1931,1
28,,9,253,2
29,,9,1865,5
30,,9,1657,3
31,,10,1629,1
32,,10,304,5
33,,11,1441,3
34,,11,1527,3
35,,11,1706,2
36,,12,1444,4
37,,13,501,2
38,,14,846,2
39,,14,983,4
40,,15,452,3
41,,15,492,1
42,,15,1595,2
43,,15,1828,3
44,,16,599,3
45,,16,1889,3
46,,16,416,4
47,,16,1013,3
48,,16,1470,3
49,,17,579,2
50,,17,1009,1
51,,18,812,5
52,,18,1552,3
53,,18,1301,3
54,,19,720,5
55,,19,1463,3
56,,20,1217,4
57,,21,1500,1
58,,22,244,3
59,,22,1632,3
60,,23,1279,5
61,,23,744,1
62,,23,11,4
63,,23,5,1
64,,23,1523,1
65,,23,1821,2
66,,24,259,3
67,,24,1133,3
68,,25,788,4
69,,25,545,4
70,,26,40,2
71,,26,304,5
72,,26,937,4
73,,26,17,3
74,,26,1409,4
75,,27,1307,3
76,,27,1370,3
77,,27,283,5
78,,27,1429,4
79,,27,1366,4
80,,28,1462,5
81,,28,1690,2
82,,29,589,5
83,,29,1634,5
84,,29,1932,3
85,,29,1352,2
86,,29,607,5
87,,30,1727,5
88,,30,176,4
89,,30,643,2
90,,30,1676,5
91,,31,111,4
92,,31,916,2
93,,31,1593,3
94,,32,1856,3
95,,33,1511,1
96,,33,501,1
97,,33,263,3
98,,35,835,2
99,,35,820,1
100,,35,1085,2
101,,35,1918,3
102,,35,1276,2
103,,35,1416,5
104,,35,1228,3
105,,36,1799,3
106,,36,78,5
107,,38,976,2
108,,38,988,5
109,,38,521,4
110,,38,1916,5
111,,38,1414,3
112,,39,1252,3
113,,39,505,2
114,,39,127,1
115,,39,663,1
116,,40,893,5
117,,40,1699,2
118,,40,808,1
119,,40,819,2
120,,41,716,5
121,,41,505,2
122,,41,1616,2
123,,41,1018,4
124,,42,1931,4
125,,42,940,3
126,,42,959,4
127,,42,1502,2
128,,43,792,1
129,,43,139,5
130,,43,989,2
131,,44,1415,5
132,,44,191,2
133,,45,1203,4
134,,46,211,2
135,,46,1839,3
136,,46,956,5
137,,47,1450,5
138,,48,789,3
139,,48,18,1
140,,48,819,2
141,,49,1676,2
142,,49,747,3
143,,49,927,5
144,,49,747,1
145,,49,1763,2
146,,49,1579,5
147,,50,1183,3
148,,50,578,5
149,,51,1436,5
150,,51,242,2
151,,51,882,1
152,,52,1862,1
153,,52,303,3
154,,52,1720,3
155,,52,1102,5
156,,52,750,4
157,,52,1615,3
158,,54,309,2
159,,55,928,1
160,,55,1096,3
161,,55,1664,1
162,,55,1414,5
163,,56,795,1
164,,56,1210,3
165,,57,1741,4
166,,58,2000,1
