wishlist_id,user_id,product_id,product_name,category,brand,price,quantity,date_added,priority,availability_status,rating,review_count,discount,final_price,currency,location,device_type,user_segment,notes
1,38312,10287,Card Source,Audio,Asus,444.58,3,2024-06-24,Low,Out of Stock,2.4,1060,0.01,440.13,USD,USA,Mobile,Professional,Along sell wall culture glass budget clearly war.
2,6966,1426,Grow Data,Monitors,Apple,261.02,1,2024-11-29,Low,Preorder,5.0,1406,0.46,140.95,USD,Mexico,Laptop,Professional,School maintain surface exactly later.
3,42171,8099,Space Through,Audio,Samsung,1254.82,3,2024-04-16,Low,Out of Stock,1.9,1019,0.35,815.63,USD,Canada,Tablet,Gamer,Main strategy necessary to consider beautiful.
4,3169,18006,Attack Order,Audio,Acer,1155.23,3,2023-12-02,Low,In Stock,3.3,2519,0.49,589.17,USD,Spain,Tablet,Casual,Order maintain large easy young.
5,31770,7107,Despite Know,Laptops,Sony,1458.08,3,2025-04-23,High,In Stock,4.5,2988,0.31,1006.08,USD,Canada,Laptop,Professional,Laugh community direction national spend author standard.
6,1117,16862,Save Become,Accessories,Samsung,1678.71,3,2024-06-10,High,Preorder,3.6,3846,0.29,1191.88,USD,USA,Tablet,Gamer,Country guess method seat.
7,16835,11520,Film Century,Laptops,Samsung,1136.52,4,2025-06-14,Medium,Out of Stock,2.5,4926,0.45,625.09,USD,Argentina,Desktop,Casual,Increase agency perhaps allow paper hour.
8,30590,17313,Medical Drive,Monitors,Dell,439.33,2,2024-04-03,High,In Stock,3.2,1515,0.4,263.6,USD,Mexico,Desktop,Professional,Officer people study measure.
9,32987,8572,Account Often,Monitors,Asus,169.64,2,2024-04-22,Low,In Stock,3.9,4590,0.07,157.77,USD,Mexico,Laptop,Professional,Business instead these miss mission religious.
10,7545,19785,Production Low,Components,Samsung,1771.98,2,2024-03-27,High,Preorder,4.3,604,0.25,1328.98,USD,Canada,Mobile,Casual,Eye talk their daughter any I every source.
11,41101,5004,Sign Modern,Monitors,HP,2791.66,3,2024-04-04,Low,In Stock,2.4,1090,0.47,1479.58,USD,Spain,Mobile,Student,Talk gun phone article.
12,19925,12921,Forward Page,Monitors,Dell,764.54,3,2024-11-27,Low,In Stock,1.1,708,0.36,489.31,USD,Spain,Mobile,Student,Talk very time race.
13,6100,15634,Lose Where,Monitors,Samsung,2253.07,4,2025-02-15,Medium,In Stock,3.9,4445,0.37,1419.43,USD,Spain,Desktop,Student,Position act analysis risk develop.
14,2161,5980,Travel Listen,Components,Apple,415.26,3,2025-01-14,Low,In Stock,2.5,802,0.45,228.39,USD,Canada,Tablet,Professional,Person newspaper realize smile study human best.
15,41780,16366,Decide Party,Components,Sony,692.0,4,2024-06-12,Low,Out of Stock,2.8,2104,0.09,629.72,USD,Spain,Desktop,Gamer,Education beautiful nation positive oil ready.
16,34331,11234,Claim Together,Monitors,LG,2774.26,3,2024-01-15,Medium,Preorder,3.8,4164,0.4,1664.56,USD,USA,Tablet,Casual,Lot job box.
17,40376,14545,Score Help,Laptops,HP,2795.04,4,2024-01-01,Medium,In Stock,1.9,1171,0.22,2180.13,USD,Argentina,Laptop,Casual,They teacher at always treatment source.
18,41574,14922,Blood People,Audio,Acer,550.31,3,2025-04-06,Low,In Stock,4.4,1922,0.08,506.29,USD,Spain,Laptop,Casual,Line hit participant sell actually.
19,23884,7199,Herself Lawyer,Components,Samsung,145.12,1,2025-05-21,Medium,Out of Stock,4.7,257,0.29,103.04,USD,Canada,Mobile,Professional,Know more suggest right day simply customer.
20,7476,15154,Movie Significant,Monitors,LG,1620.79,4,2025-04-16,Low,Out of Stock,2.0,3073,0.42,940.06,USD,Spain,Tablet,Gamer,Action every under hotel force enter style have.
21,38182,18353,Head Smile,Accessories,Dell,2505.91,4,2024-09-27,Low,Out of Stock,1.4,3042,0.08,2305.44,USD,Mexico,Tablet,Student,All stage bag ball challenge likely main.
22,23124,9223,Teacher Support,Laptops,Sony,1799.72,4,2025-09-13,Medium,Preorder,3.1,2699,0.17,1493.77,USD,Mexico,Laptop,Professional,Certain none course.
23,17571,8731,Trial Close,Smartphones,Asus,2192.27,2,2024-10-02,Low,Preorder,1.7,639,0.47,1161.9,USD,Spain,Tablet,Casual,Television receive home that expert class federal.
24,24893,7855,Give Able,Smartphones,Apple,687.42,4,2024-01-02,Medium,Preorder,1.7,706,0.26,508.69,USD,USA,Mobile,Gamer,Claim the customer plant could themselves act beautiful.
25,11688,7767,Third It,Smartphones,Samsung,383.67,3,2025-01-14,Medium,In Stock,2.0,4124,0.23,295.43,USD,Spain,Desktop,Student,Control reach thus trial draw cold fear spring.
26,25076,2783,Spend Area,Audio,LG,1674.05,2,2025-09-15,Medium,Out of Stock,2.2,3696,0.22,1305.76,USD,Spain,Desktop,Student,Idea candidate enjoy clearly be.
27,33705,909,Politics Partner,Components,Sony,547.1,2,2024-01-31,Medium,Preorder,2.9,2317,0.48,284.49,USD,Canada,Tablet,Gamer,Right team generation.
28,31704,13229,Especially Moment,Components,Sony,1690.56,1,2025-08-11,Low,Preorder,1.4,22,0.49,862.19,USD,Spain,Laptop,Casual,Fish house authority student near.
29,1231,13846,It Require,Accessories,Samsung,2952.41,1,2025-09-29,High,Preorder,3.4,1457,0.19,2391.45,USD,Mexico,Desktop,Student,This value prevent store wait occur participant.
30,13251,14969,Interview Own,Accessories,LG,1212.77,4,2024-02-13,Medium,Out of Stock,4.3,1233,0.38,751.92,USD,USA,Mobile,Student,Service fish range air political no six in.
31,18860,7383,Various North,Smartphones,Dell,2892.28,4,2025-06-08,Medium,In Stock,2.0,1403,0.22,2255.98,USD,Argentina,Desktop,Student,Key box interesting tonight marriage left.
32,35077,18245,Mr Fire,Monitors,Sony,1961.35,4,2025-03-27,Medium,Out of Stock,1.6,827,0.06,1843.67,USD,Canada,Mobile,Gamer,Large six leader reflect white fear place.
33,48327,1729,Least Score,Monitors,Apple,1267.69,4,2024-09-27,Low,Preorder,1.7,4977,0.48,659.2,USD,Canada,Tablet,Student,Example at full travel send.
34,43069,12269,Your Deal,Accessories,Sony,840.75,2,2024-08-18,Medium,In Stock,3.5,148,0.2,672.6,USD,Spain,Tablet,Casual,Community indeed just may which program social future.
35,4572,3680,Between Today,Audio,HP,2736.2,2,2025-08-31,High,Preorder,2.9,1527,0.27,1997.43,USD,USA,Desktop,Student,But against rule house marriage executive as.
36,26686,18787,Rock Strategy,Laptops,Samsung,283.96,2,2025-01-25,Medium,Preorder,1.5,2985,0.27,207.29,USD,Canada,Mobile,Casual,Reduce vote something right.
