id,order_id,product_id,quantity
1,1,386,2
2,2,19,1
3,3,235,3
4,3,357,1
5,3,82,5
6,3,485,1
7,4,9,5
8,4,216,3
9,4,277,5
10,4,329,1
11,5,93,1
12,5,224,2
13,5,158,1
14,5,165,2
15,6,417,4
16,6,276,1
17,6,439,5
18,6,123,5
19,7,86,5
20,7,9,3
21,8,254,2
22,9,494,3
23,9,31,1
24,10,452,5
25,11,5,1
26,11,388,1
27,12,172,3
28,12,40,5
29,12,362,4
30,12,5,1
31,13,23,4
32,13,221,4
33,14,342,3
34,14,391,4
35,14,350,4
36,14,79,2
37,15,144,2
38,16,249,1
39,16,449,2
40,17,170,2
41,17,360,5
42,18,348,5
43,18,480,1
44,19,115,4
45,20,484,4
46,21,54,4
47,21,182,1
48,21,308,1
49,22,405,5
50,22,280,1
51,22,16,3
52,23,189,1
53,23,115,3
54,24,379,3
55,24,119,1
56,25,389,2
57,25,334,3
58,25,32,4
59,26,402,3
60,26,156,1
61,26,480,1
62,26,239,2
63,27,30,2
64,27,63,4
65,28,400,2
66,28,46,4
67,29,460,4
68,30,91,4
69,30,423,4
70,30,393,3
71,30,413,1
72,31,245,1
73,32,332,1
74,32,460,3
75,32,50,3
76,33,426,4
77,33,406,1
78,33,321,4
79,33,244,2
80,34,6,4
81,34,408,4
82,35,258,3
83,35,283,2
84,35,221,1
85,36,69,3
86,37,80,5
87,38,290,4
88,39,10,5
89,40,290,4
90,41,307,1
91,42,228,1
92,43,64,5
93,43,145,4
94,43,327,5
95,43,427,5
96,44,333,4
97,45,426,4
98,46,190,1
99,46,390,2
100,46,76,3
101,46,322,1
102,47,26,4
103,47,89,2
104,48,69,5
105,48,454,1
106,48,276,5
107,49,290,5
108,49,420,2
109,50,300,2
110,50,184,3
111,50,324,4
112,51,195,2
113,51,406,1
114,51,394,3
115,52,345,3
116,52,489,2
117,52,386,3
118,53,388,5
119,53,302,4
120,53,250,1
121,53,149,1
122,54,222,2
123,55,314,5
124,55,100,1
125,56,68,1
126,56,450,2
127,56,328,5
128,56,317,3
129,57,491,1
130,57,311,5
131,57,113,5
132,58,366,5
133,58,314,1
134,58,417,1
135,59,354,5
136,59,74,2
137,60,266,5
138,60,497,1
139,60,251,1
140,60,243,5
141,61,163,1
142,61,6,1
143,61,183,1
144,61,406,4
145,62,84,3
146,62,21,2
147,62,499,5
148,62,439,5
149,63,194,2
150,64,89,3
151,64,345,3
152,64,456,5
153,64,473,1
154,65,467,4
155,65,45,4
156,66,151,3
157,66,430,5
158,67,494,5
159,67,239,5
160,67,88,4
161,68,104,3
162,68,246,2
163,68,223,2
164,69,362,3
165,69,421,1
166,69,150,3
167,69,311,3
168,70,61,4
169,70,104,2
170,71,498,2
171,71,128,2
172,71,262,5
173,71,476,4
174,72,343,3
175,72,460,4
176,72,414,3
177,72,333,1
178,73,472,1
179,74,314,3
180,75,134,5
181,75,27,3
182,76,155,2
183,76,166,3
184,77,97,5
185,78,316,1
186,79,421,5
187,79,9,2
188,79,342,4
189,80,67,5
190,80,282,5
191,81,77,2
192,82,129,5
193,82,164,3
194,83,242,1
195,83,2,2
196,83,416,1
197,84,433,3
198,84,440,2
199,85,228,5
200,85,150,3
201,86,459,4
202,86,318,1
203,86,68,3
204,87,286,3
205,87,472,4
206,87,454,1
207,88,347,5
208,88,218,4
209,88,310,5
210,88,159,3
211,89,450,5
212,90,463,2
213,91,162,3
214,91,126,5
215,91,124,3
216,92,366,5
217,92,435,2
218,92,245,3
219,93,271,1
220,94,2,2
221,94,407,4
222,95,256,1
223,95,413,3
224,96,489,2
225,97,249,5
226,98,114,4
227,98,369,4
228,99,446,2
229,99,3,2
230,99,404,5
231,99,49,5
232,100,234,5
233,100,402,5
234,101,495,3
235,102,396,4
236,103,31,2
237,103,286,5
238,103,411,4
239,104,297,4
240,104,52,5
241,104,449,5
242,105,25,5
243,106,209,5
244,106,380,4
245,106,137,2
246,106,14,4
247,107,170,1
248,107,1,1
249,108,18,2
250,109,169,5
251,109,149,4
252,109,420,2
253,109,267,3
254,110,85,5
255,110,80,3
256,110,405,3
257,110,198,3
258,111,398,2
259,111,408,1
260,111,304,4
261,112,264,1
262,113,335,3
263,113,207,2
264,114,3,5
265,114,484,4
266,114,6,5
267,115,371,3
268,115,451,2
269,115,231,4
270,115,205,1
271,116,388,2
272,117,78,1
273,117,494,3
274,117,295,4
275,118,153,3
276,118,451,4
277,118,178,1
278,118,264,3
279,119,249,4
280,119,267,2
281,120,233,2
282,120,124,1
283,120,214,5
284,120,39,2
285,121,32,1
286,122,287,3
287,122,102,2
288,123,369,2
289,123,170,5
290,123,1,2
291,123,296,2
292,124,236,3
293,124,371,2
294,125,296,2
295,125,186,4
296,126,369,4
297,127,432,4
298,127,114,4
299,127,45,4
300,127,125,2
301,128,187,2
302,128,190,2
303,128,97,5
304,129,249,5
305,130,490,1
306,130,495,4
307,131,452,5
308,132,286,3
309,132,18,4
310,132,253,2
311,133,443,4
312,133,82,4
313,133,81,1
314,133,363,2
315,134,241,1
316,134,363,5
317,135,345,5
318,135,24,4
319,135,24,5
320,136,2,4
321,136,391,2
322,136,74,4
323,136,341,2
324,137,236,3
325,137,402,2
