id,name,price,stock
1,Product 1,1360.19,431
2,Product 2,1438.76,250
3,Product 3,1246.57,230
4,Product 4,1815.33,307
5,Product 5,1030.14,248
6,Product 6,1071.99,381
7,Product 7,282.6,341
8,Product 8,302.7,170
9,Product 9,938.5,348
10,Product 10,570.13,210
11,Product 11,774.39,376
12,Product 12,1918.71,239
13,Product 13,140.08,26
14,Product 14,1517.64,237
15,Product 15,1076.01,365
16,Product 16,173.92,187
17,Product 17,1638.81,312
18,Product 18,1163.79,232
19,Product 19,359.14,6
20,Product 20,1384.11,497
21,Product 21,1518.18,319
22,Product 22,24.84,43
23,Product 23,1664.64,193
24,Product 24,364.51,368
25,Product 25,1554.42,136
26,Product 26,28.3,85
27,Product 27,762.71,498
28,Product 28,1187.28,181
29,Product 29,1208.05,158
30,Product 30,347.24,386
31,Product 31,1328.54,232
32,Product 32,1950.06,171
33,Product 33,200.11,213
34,Product 34,418.09,89
35,Product 35,1819.03,213
36,Product 36,1946.19,19
37,Product 37,1817.89,354
38,Product 38,1401.37,156
39,Product 39,779.05,19
40,Product 40,1927.99,100
41,Product 41,203.85,469
42,Product 42,638.78,230
43,Product 43,1768.43,125
44,Product 44,661.46,57
45,Product 45,1186.7,327
46,Product 46,672.95,335
47,Product 47,1558.81,400
48,Product 48,1308.05,476
49,Product 49,262.43,485
50,Product 50,1050.33,14
51,Product 51,147.04,384
52,Product 52,1750.53,91
53,Product 53,304.84,338
54,Product 54,1906.35,452
55,Product 55,879.76,287
56,Product 56,1736.63,395
57,Product 57,1200.51,152
58,Product 58,1402.74,97
59,Product 59,578.18,143
60,Product 60,238.19,8
61,Product 61,230.85,22
62,Product 62,1950.72,430
63,Product 63,836.12,293
64,Product 64,17.23,348
65,Product 65,1994.94,56
66,Product 66,1662.27,424
67,Product 67,422.1,351
68,Product 68,965.97,188
69,Product 69,815.9,61
70,Product 70,32.24,237
71,Product 71,386.08,242
72,Product 72,1061.66,432
73,Product 73,1459.84,345
74,Product 74,1835.84,293
75,Product 75,788.03,432
76,Product 76,1392.4,281
77,Product 77,1541.01,444
78,Product 78,1305.83,462
79,Product 79,1998.0,108
80,Product 80,1948.77,308
81,Product 81,955.65,40
82,Product 82,520.23,314
83,Product 83,1487.81,279
84,Product 84,1169.32,79
85,Product 85,239.17,425
86,Product 86,122.28,356
87,Product 87,95.66,0
88,Product 88,501.79,229
89,Product 89,239.69,175
90,Product 90,751.19,414
91,Product 91,82.27,196
92,Product 92,1993.81,105
93,Product 93,1940.61,189
94,Product 94,1516.12,305
95,Product 95,998.78,444
96,Product 96,1272.72,400
97,Product 97,1087.65,403
98,Product 98,507.12,277
99,Product 99,1843.08,330
100,Product 100,915.9,76
101,Product 101,234.9,319
102,Product 102,619.95,33
103,Product 103,760.44,196
104,Product 104,1638.63,267
105,Product 105,1854.46,101
106,Product 106,1594.17,180
107,Product 107,1213.13,177
108,Product 108,1150.25,297
109,Product 109,692.24,133
110,Product 110,353.73,404
111,Product 111,68.76,466
112,Product 112,1653.18,72
113,Product 113,1040.69,141
114,Product 114,1911.23,189
115,Product 115,1813.22,374
116,Product 116,150.4,221
117,Product 117,367.65,34
118,Product 118,1051.27,483
119,Product 119,736.83,302
120,Product 120,1348.93,345
121,Product 121,1394.41,382
122,Product 122,632.79,8
123,Product 123,103.73,53
124,Product 124,1059.98,456
125,Product 125,1692.93,102
126,Product 126,1270.18,321
127,Product 127,1742.12,35
128,Product 128,355.75,305
129,Product 129,1250.76,396
130,Product 130,855.07,166
131,Product 131,444.34,320
132,Product 132,631.98,248
133,Product 133,783.22,453
134,Product 134,1153.39,363
135,Product 135,1596.91,459
136,Product 136,556.85,385
137,Product 137,1692.78,313
138,Product 138,87.58,152
139,Product 139,686.35,345
140,Product 140,446.86,194
141,Product 141,1016.62,67
142,Product 142,1172.02,176
143,Product 143,500.13,11
144,Product 144,498.52,493
145,Product 145,1286.89,168
146,Product 146,1147.12,189
147,Product 147,1123.33,315
148,Product 148,1054.45,194
149,Product 149,399.56,359
150,Product 150,1805.46,171
151,Product 151,795.93,493
152,Product 152,1181.47,310
153,Product 153,570.9,277
154,Product 154,1239.92,390
155,Product 155,1518.81,46
156,Product 156,1299.37,353
157,Product 157,1735.38,265
158,Product 158,953.77,485
159,Product 159,142.21,258
160,Product 160,1386.14,13
161,Product 161,910.84,390
162,Product 162,1434.06,500
163,Product 163,812.2,140
164,Product 164,961.23,375
165,Product 165,329.88,47
166,Product 166,910.98,11
167,Product 167,790.74,454
168,Product 168,205.67,223
169,Product 169,390.4,267
170,Product 170,726.03,171
171,Product 171,420.17,36
172,Product 172,403.21,29
173,Product 173,1956.88,195
174,Product 174,1851.96,85
175,Product 175,1363.47,248
176,Product 176,1728.72,493
177,Product 177,544.23,225
178,Product 178,583.9,114
179,Product 179,846.68,137
180,Product 180,938.46,308
181,Product 181,435.83,445
182,Product 182,527.59,144
183,Product 183,1085.45,196
184,Product 184,1993.85,364
185,Product 185,570.03,139
186,Product 186,1443.79,483
187,Product 187,1699.51,168
188,Product 188,1583.89,301
189,Product 189,1676.83,428
190,Product 190,670.96,117
191,Product 191,1060.96,331
192,Product 192,10.68,367
193,Product 193,1819.66,239
194,Product 194,823.13,465
195,Product 195,125.84,241
196,Product 196,154.16,470
197,Product 197,486.12,486
198,Product 198,852.31,400
199,Product 199,538.41,448
200,Product 200,1347.18,166
201,Product 201,1665.65,331
202,Product 202,1338.61,296
203,Product 203,1697.64,100
204,Product 204,1108.67,306
205,Product 205,406.42,283
206,Product 206,1179.7,491
207,Product 207,1839.46,90
208,Product 208,970.31,180
209,Product 209,393.94,85
210,Product 210,1356.61,373
211,Product 211,813.65,285
212,Product 212,1878.45,378
213,Product 213,1198.38,248
214,Product 214,1201.36,418
215,Product 215,1568.04,336
216,Product 216,1691.91,438
217,Product 217,201.39,179
218,Product 218,1354.02,370
219,Product 219,1409.86,113
220,Product 220,1042.29,382
221,Product 221,1209.99,376
222,Product 222,1780.9,309
223,Product 223,1615.43,102
224,Product 224,1683.05,270
225,Product 225,79.21,237
226,Product 226,1787.48,279
227,Product 227,98.84,107
228,Product 228,1517.09,222
229,Product 229,967.29,170
230,Product 230,1354.42,235
231,Product 231,1827.97,455
232,Product 232,653.28,46
233,Product 233,1893.72,497
234,Product 234,1695.26,282
235,Product 235,1024.74,490
236,Product 236,1247.29,206
237,Product 237,1007.69,11
238,Product 238,1441.1,239
239,Product 239,1224.49,227
240,Product 240,151.33,51
241,Product 241,768.56,101
242,Product 242,1609.38,284
243,Product 243,605.79,43
244,Product 244,677.2,281
245,Product 245,71.94,170
246,Product 246,1922.64,107
247,Product 247,959.11,227
248,Product 248,1390.66,142
249,Product 249,1013.06,396
250,Product 250,1297.24,473
251,Product 251,1754.27,409
252,Product 252,1105.24,232
253,Product 253,1062.18,134
254,Product 254,117.73,396
255,Product 255,1322.28,271
256,Product 256,914.3,58
257,Product 257,1414.81,365
258,Product 258,1697.41,224
259,Product 259,1065.3,135
260,Product 260,276.65,403
261,Product 261,287.26,427
262,Product 262,1833.42,282
263,Product 263,1246.38,339
264,Product 264,1999.92,69
265,Product 265,791.86,62
266,Product 266,188.32,106
267,Product 267,804.5,21
268,Product 268,1873.2,343
269,Product 269,1861.52,450
270,Product 270,321.79,173
271,Product 271,573.54,171
272,Product 272,1477.86,331
273,Product 273,147.55,106
274,Product 274,925.1,76
275,Product 275,712.73,181
276,Product 276,1668.87,460
277,Product 277,970.32,183
278,Product 278,527.98,126
279,Product 279,285.15,264
280,Product 280,1614.07,279
281,Product 281,1252.6,161
282,Product 282,1351.37,203
283,Product 283,1642.21,366
284,Product 284,678.44,170
